Seniority,Home,Time,Age,Marital,Records,Job,Expenses,Income,Assets,Debt,Amount,Price,prediction,target
0,5,37,38,4,1,3,60.2,145.0,15720.8,1297.0,1460.5,1646.9,0,0
6,4,50,37,0,1,3,56.0,255.2,1640.3,6.8,626.4,1431.0,0,1
0,2,25,18,4,1,1,53.4,112.7,6157.7,0.0,858.2,1864.2,0,0
0,2,39,18,2,1,3,38.9,230.1,12640.4,0.0,2275.5,2361.1,0,0
9,0,39,25,1,1,2,49.5,96.6,7564.0,0.0,1088.8,1119.5,1,0
10,3,23,23,1,0,3,35.0,50.9,0.0,0.0,428.3,368.2,0,0
24,1,54,34,2,0,3,49.7,46.8,11460.7,0.0,1291.1,2627.1,1,1
9,5,13,40,2,1,3,92.9,142.8,0.0,1560.1,770.7,1476.6,1,1
5,4,52,44,4,1,2,49.9,182.7,11223.8,0.0,1033.1,3475.5,0,1
0,1,38,38,2,1,0,38.8,134.9,0.0,0.0,838.9,846.8,0,0
0,0,40,22,0,0,0,47.4,141.2,16292.0,0.0,340.4,1883.6,1,0
4,0,18,31,2,0,2,38.7,207.5,18769.3,0.0,1405.5,1063.3,1,1
0,0,26,36,1,0,1,68.4,23.6,11225.2,338.6,1040.3,2013.6,1,1
11,2,29,54,3,1,3,35.0,169.9,5083.2,0.0,967.4,1663.4,1,0
1,3,57,19,4,1,2,62.7,146.6,10599.7,1952.0,1653.6,1472.8,0,1
3,2,60,39,4,0,0,35.0,292.1,30593.7,311.1,620.5,1982.1,1,0
7,0,55,45,1,0,3,35.5,126.6,21987.9,0.0,1305.1,1140.6,1,1
8,5,15,28,0,0,3,37.6,168.2,9113.9,2366.7,1435.8,1900.1,1,1
0,0,71,24,3,0,1,44.2,9.3,25775.9,1034.5,674.9,884.2,0,0
12,4,56,42,2,1,2,80.5,184.1,11961.2,1052.7,1160.6,1809.7,1,1
8,3,70,48,4,0,1,43.8,101.1,13629.5,378.5,1224.5,1151.5,1,1
0,5,59,28,3,0,1,64.3,224.5,16000.8,1610.8,551.6,1924.1,1,1
0,3,72,44,4,0,2,35.0,118.2,0.0,0.0,923.4,364.9,0,0
9,4,60,37,1,1,1,35.0,216.6,3368.2,0.0,794.0,2037.8,1,0
9,1,46,28,2,1,1,63.6,203.4,0.0,1333.4,100.0,1819.3,1,1
0,5,40,41,0,1,3,35.0,89.8,0.0,814.9,1119.5,1784.5,0,0
5,2,58,39,4,0,1,35.0,178.3,0.0,1569.0,1589.1,1642.3,1,1
6,2,21,39,1,1,1,49.4,104.8,7544.6,840.4,838.0,1266.3,1,0
1,2,38,46,2,1,0,35.0,140.0,0.0,0.0,1064.6,718.6,0,0
0,3,46,25,3,0,3,48.8,12.6,4122.6,157.3,1313.9,1463.1,0,0
17,5,32,26,3,0,2,35.0,185.6,0.0,65.7,1384.0,1390.2,1,0
0,2,60,21,2,1,3,64.2,20.1,6853.0,183.3,1249.5,973.3,0,0
5,4,41,18,4,1,0,62.3,129.2,1489.6,819.2,1005.7,1806.1,0,1
6,3,24,31,4,0,1,63.0,131.1,0.0,0.0,573.0,800.3,1,0
0,3,36,35,1,1,2,41.9,51.8,0.0,1166.9,1480.5,2243.4,0,0
4,1,37,42,1,1,3,51.3,86.5,4184.4,0.0,1121.8,882.7,0,1
0,1,63,47,3,1,2,52.4,85.3,9804.1,0.0,467.4,122.0,0,0
1,5,68,48,3,1,2,49.3,177.6,27221.0,2307.8,1029.8,878.0,0,0
1,0,48,31,4,1,2,44.0,142.3,8673.2,1751.6,100.0,1042.2,0,0
11,4,52,39,2,0,0,63.8,6.0,1568.0,49.2,1367.6,1408.4,0,0
0,4,72,22,4,1,2,35.0,35.9,3678.8,0.0,638.0,1848.6,0,0
0,3,65,31,0,1,0,35.0,135.6,0.0,573.6,1390.6,1544.8,0,0
0,5,26,40,4,1,2,50.9,176.5,35653.2,932.7,777.5,100.0,0,0
23,5,60,33,3,1,1,35.0,63.5,16211.6,0.0,611.2,1417.8,1,0
1,5,46,44,1,1,1,57.0,87.4,0.0,0.0,1690.3,1697.3,0,1
0,1,27,55,2,1,3,51.0,137.2,0.0,384.8,751.9,763.3,0,1
0,1,54,39,0,0,3,61.5,135.1,0.0,1663.3,1048.9,843.8,0,0
14,5,72,34,4,0,3,35.0,255.2,0.0,0.0,1700.4,1322.7,1,1
5,2,30,34,2,1,1,59.1,121.8,14506.1,0.0,763.6,1587.8,1,1
11,5,29,37,3,1,3,54.8,194.9,0.0,397.4,1666.1,1511.6,1,0
0,1,32,48,4,0,2,36.3,197.2,14718.6,1024.5,451.4,1034.1,1,0
3,2,54,23,2,0,2,56.6,110.2,24372.5,0.0,1114.4,1377.6,1,1
2,2,36,64,0,1,3,35.0,91.3,628.0,0.0,1628.0,1157.9,0,1
6,3,72,38,3,0,1,52.6,69.7,0.0,0.0,1063.3,793.7,1,1
0,0,44,31,4,1,1,44.5,90.2,9946.9,102.8,328.8,385.3,0,0
14,1,32,24,1,1,0,73.9,40.0,0.0,2299.5,692.3,1147.2,0,1
5,0,30,35,4,1,3,71.6,140.5,0.0,2398.0,1270.5,2005.2,0,0
4,0,31,38,4,1,1,52.4,194.6,23900.0,361.0,933.8,1483.5,1,0
0,1,56,43,0,1,3,41.4,99.1,0.0,1294.7,1321.4,1962.3,0,0
0,2,41,32,3,1,1,44.6,88.8,35754.2,1663.7,1770.4,1578.8,0,1
4,4,60,34,2,0,2,57.6,223.1,6558.1,0.0,1238.7,1146.1,1,1
3,0,43,29,3,0,1,55.7,140.7,10051.3,0.0,654.6,1065.0,1,0
4,3,59,42,1,1,3,60.2,242.3,0.0,90.3,1268.0,1641.5,0,1
0,2,58,34,3,1,2,64.8,171.0,0.0,0.0,1188.5,1360.2,0,1
1,0,60,46,3,1,0,51.6,236.0,0.0,2696.8,641.5,522.3,0,1
1,2,71,36,0,1,1,69.5,73.3,0.0,0.0,1342.8,2511.5,0,1
13,0,30,44,3,1,1,36.4,239.8,14502.5,0.0,800.8,633.0,1,1
0,5,72,18,0,1,3,90.2,145.7,2752.9,586.4,622.8,286.3,0,1
12,3,27,45,0,1,1,35.0,59.8,1531.8,0.0,926.9,257.6,0,1
0,3,48,47,3,1,2,38.5,73.3,14662.3,0.0,2005.7,1217.2,0,0
14,3,45,36,3,0,2,53.6,81.3,0.0,0.0,100.0,1502.5,1,0
0,4,27,38,1,0,1,67.7,151.7,0.0,0.0,929.7,726.7,1,1
8,1,52,39,2,1,1,35.0,180.3,16766.4,0.0,1290.7,1010.8,1,0
0,1,32,39,4,1,2,35.0,165.8,7576.6,175.9,809.1,1117.7,0,1
9,3,38,31,0,1,1,35.0,218.0,0.0,0.0,983.2,605.1,1,0
0,5,53,34,1,0,2,64.6,140.7,4215.3,0.0,1135.3,2596.6,0,1
0,4,66,40,2,1,2,56.9,90.1,16646.6,0.0,556.2,960.6,0,0
6,1,72,35,3,0,3,82.8,203.1,0.0,0.0,784.1,1313.8,1,1
0,0,43,42,0,0,0,41.0,121.4,0.0,2326.9,474.9,905.4,1,1
0,4,27,34,3,1,3,50.2,159.9,22128.5,0.0,1921.6,1053.1,0,1
5,3,45,43,0,0,0,40.7,131.7,0.0,2680.4,739.3,1296.1,1,0
1,1,38,32,2,1,3,35.0,86.2,13661.5,556.2,419.3,1987.8,1,1
0,2,53,28,2,1,2,85.6,129.1,5163.4,2755.7,1027.3,1262.9,0,1
1,0,52,35,3,0,3,73.0,137.8,0.0,0.0,794.8,1362.1,0,0
0,4,52,54,4,1,3,35.0,222.9,0.0,1182.2,880.9,1204.1,0,1
6,3,50,31,2,0,2,59.4,244.9,4610.1,371.6,1031.8,2473.4,1,0
11,3,56,46,1,1,3,39.0,158.5,0.0,1048.2,933.6,2835.1,1,1
0,4,18,44,2,0,3,35.0,136.5,0.0,637.8,1783.1,621.2,0,0
20,1,39,51,3,0,0,66.3,18.4,31165.7,0.0,1333.9,1419.7,1,1
0,1,45,43,0,0,2,66.9,258.4,12178.4,146.3,1226.6,1079.0,1,1
10,5,43,31,3,1,3,55.9,150.3,9704.2,0.0,596.3,1598.1,1,1
11,0,72,26,2,0,2,52.6,76.5,0.0,73.7,865.8,1094.9,1,1
0,1,67,38,2,1,2,51.0,104.7,1254.6,0.0,618.0,1146.2,0,1
0,1,33,38,4,1,1,60.3,74.6,285.9,0.0,511.9,2077.8,0,0
